,0,1,2
924,925,Yun,Haejung
925,926,Kettinger,William J.
926,927,Kondo,Fumiyo N.
927,928,Hirata,Jiro
928,929,Akter,Shahriar
929,930,Zamani,Efpraxia
930,931,Laugesen,John
931,932,Lehrer,Christiane
932,933,Hess,Thomas
933,934,Levy,Meira
934,935,Shoval,Peretz
935,936,Shapira,Bracha
936,937,Dayan,Aviram
937,938,Tubi,Meytal
938,939,Bartscher,Philipp
939,940,Weiss,Thomas
940,941,Weniger,Sandra
941,942,Soehnel,Anne
942,943,Mahmoud,Qusay H.
943,944,Popowicz,Pawel
944,945,Patriarcheas,Kiriakos
945,946,Xenos,Michalis
946,947,Picoto,Winnie Ng
947,948,Palma-dos-Reis,Antonio
